table_id,feature_id,name,lat,long
316,4526,Sonarampur,23.82207827,90.77496449
323,4224,Salimabad,23.74947187,90.83038499
327,1016,Chandura,24.03477055,91.22257259
329,952,Champaknagar,23.98037574,91.21043521
330,2038,Harashpur,24.02928852,91.28045968
331,3750,Pattan,23.96008519,91.17699273
335,3580,Paharpur,23.9824544,91.26369333
336,2301,Jibtali,22.53460629,92.26129945
339,435,Bandukbhanga,22.74768193,92.17050761
340,409,Balukhali,22.61565464,92.27136366
342,3944,Raikhali,22.4170919,92.16853436
343,2569,Kaptai,22.48695896,92.22400595
344,4859,Wagga,22.55027657,92.12008681
345,1010,Chandraghona,22.50667048,92.13606974
351,4207,Sajek,23.44713779,92.22448075
352,141,Amtali,23.10559856,92.18838126
360,571,Barkal,22.79181533,92.30966786
368,1968,Gulshakhali,22.99796317,92.28076561
373,442,Bangalhalia,22.37516582,92.14993106
376,1686,Farua,22.38336082,92.48011955
380,1609,Dumdumya,22.65571217,92.50159256
382,3393,Naniarchar,22.83722653,92.10410018
383,915,Burighat,22.80678341,92.05836895
384,1856,Ghilachhari,22.75284282,92.03306177
385,1103,Charmatua,22.85897421,90.97780604
386,1248,Dadpur,22.8568582,91.01878854
388,2379,Kadirhanif,22.87186334,91.08420431
389,826,Binodpur,22.83716299,91.08100208
390,1514,Dharmapur,22.73325946,91.07136557
393,194,Ashwadia,22.82709569,91.13082361
397,3521,Noakhali,22.75775149,91.12437056
398,4494,Sirajpur,22.86885332,91.25066353
400,1072,Charhazari,22.86552588,91.31567504
401,1083,Charkakra,22.84133188,91.27166318
402,1064,Charfakira,22.75678121,91.28030562
403,3321,Musapur,22.78015678,91.32094061
404,1063,Charelahi,22.68263966,91.22825338
405,4023,Rampur,22.80743809,91.28977909
406,102,Amanullapur,22.961812,91.01539832
407,1929,Gopalpur,22.96750513,91.05587858
408,2307,Jirtali,22.93012901,91.05540452
409,2863,Kutubpur,22.96970768,91.17473958
412,3970,Rajganj,22.89649666,91.05100892
413,1649,Eklashpur,22.90398765,91.1034884
414,636,Begumganj,22.93603944,91.07714932
415,3190,Mirwarishpur,22.96536851,91.08735587
416,3427,Narottampur,22.96927203,91.11723687
417,1627,Durgapur,22.96042365,91.14773954
418,4068,Rasulpur,22.93369717,91.18842641
419,2007,Hajipur,22.93030316,91.13983889
420,4378,Sharifpur,22.89876126,91.14257449
421,2382,Kadirpur,22.90537824,91.17834379
422,4587,Sukhchar,22.38771702,91.08265743
424,1073,Charishwar,22.32289507,91.1587639
425,1089,Charking,22.38953586,91.01861105
428,920,Burirchar,22.22627224,91.14589863
429,2203,Jahajmara,22.13629804,91.07630606
431,1076,Charjabbar,22.6968604,91.0672779
432,1045,Charbata,22.60695996,91.13181309
433,1057,Charclerk,22.61948286,91.21910473
434,1129,Charwapda,22.63603301,91.03205217
436,1034,Charaman Ullah,22.64658822,91.15224532
438,3238,Mohammadpur,22.54870189,91.19360348
439,3428,Narottampur,22.86013123,91.17952119
441,4603,Sundalpur,22.82061544,91.16476409
443,1028,Chaprashirhat,22.76967394,91.23108344
444,1477,Dhanshalik,22.82605447,91.22926571
446,1182,Chhatarpaia,23.05786433,91.15041022
447,2670,Kesharpar,23.0395887,91.18186481
449,2386,Kadra,23.00931818,91.25009506
450,178,Arjuntala,23.00852571,91.20289531
451,2355,Kabilpur,22.96186179,91.20889311
452,3237,Mohammadpur,22.94354573,91.24961368
453,3337,Nabipur,22.89839433,91.21767516
455,4181,Sahapur,23.03104923,90.91393272
456,4016,Ramnarayanpur,23.00675176,90.94343088
459,3642,Panchgaon,23.05754979,90.99478257
462,2737,Khilpara,22.99982449,90.97981796
463,3236,Mohammadpur,23.09537613,91.00322888
466,1145,Chashirhat,23.06809278,91.11460035
469,3441,Nateshwar,22.99200613,91.12969607
471,4523,Sonapur,23.0098576,91.06385355
472,1427,Deoti,23.03050844,91.0249645
473,123,Amishapara,22.99497626,91.02292698
474,1823,Gazipur,23.12119356,90.64389636
477,3497,Nilkamal,23.08209577,90.59707476
478,1999,Haimchar,23.05673001,90.60572075
479,1049,Charbhairabi,23.03740701,90.65412122
480,3733,Pathair,23.43554609,90.81449744
481,858,Bitara,23.41592732,90.84559855
487,2385,Kadla,23.340601,90.85078983
488,188,Ashrafpur,23.27733078,90.98013783
490,4143,Sachar,23.44761304,90.84722044
503,187,Ashikati,23.27293054,90.70916799
504,4343,Shahmahmudpur,23.25186406,90.73769286
505,2496,Kalyanpur,23.27365395,90.68019698
506,4022,Rampur,23.24041027,90.76543575
